"Cal. Super. Ct."	"California Superior Court Decisions:  Notable Cases"	31	https://api.case.law/v1/cases/?reporter=679	https://api.case.law/v1/reporters/679
"Cal. Unrep."	"California Unreported Cases"	2097	https://api.case.law/v1/cases/?reporter=565	https://api.case.law/v1/reporters/565
"Cambria Co. L.J."	"Cambria County Law Journal Reports"	0	https://api.case.law/v1/cases/?reporter=789	https://api.case.law/v1/reporters/789
"Cambria Co. Rep."	"Cambria County Reports"	38	https://api.case.law/v1/cases/?reporter=802	https://api.case.law/v1/reporters/802
"Carbon Co. L.J."	"Carbon County Law Journal"	59	https://api.case.law/v1/cases/?reporter=861	https://api.case.law/v1/reporters/861
"N.C. (Car. L. Rep.)"	"Carolina Law Repository"	241	https://api.case.law/v1/cases/?reporter=183	https://api.case.law/v1/reporters/183
"N.J. (Manumission)"	"Cases Adjudged in the Supreme Court of New-Jersey Relative to the Manumission of Negroes and Others Holden in Bondage"	30	https://api.case.law/v1/cases/?reporter=669	https://api.case.law/v1/reporters/669
"S.C.L. (McMul.)"	"Cases at law, argued and determined in the court of appeals of South Carolina"	143	https://api.case.law/v1/cases/?reporter=896	https://api.case.law/v1/reporters/896
"S.C.L. (Chev.)"	"Cases at law, argued and determined in the court of appeals of South Carolina"	81	https://api.case.law/v1/cases/?reporter=897	https://api.case.law/v1/reporters/897
"Tapp. Rep."	"Cases decided in the Courts of common pleas, in the Fifth circuit of the state of Ohio [1816-1819] (Tappan)"	129	https://api.case.law/v1/cases/?reporter=773	https://api.case.law/v1/reporters/773
"D. Pa."	"Cases decided in the District and Circuit court of the United States for the Pennsylvania District"	0	https://api.case.law/v1/cases/?reporter=793	https://api.case.law/v1/reporters/793
"Ohio"	"Cases decided in the supreme court of ohio : upon the circuit at the special sessions in Columbus"	833	https://api.case.law/v1/cases/?reporter=781	https://api.case.law/v1/reporters/781
"S.C. Eq. (Chev. Eq.)"	"Cases in chancery, argued and determined in the Court of appeals of South Carolina"	109	https://api.case.law/v1/cases/?reporter=1000	https://api.case.law/v1/reporters/1000
"Monaghan"	"Cases in the Supreme Court of Pennsylvania; being those cases not designated to be reported"	295	https://api.case.law/v1/cases/?reporter=790	https://api.case.law/v1/reporters/790
"Sadler"	"Cases in the Supreme Court of Pennsylvania; being those cases not designated to be reportedÉ"	1091	https://api.case.law/v1/cases/?reporter=803	https://api.case.law/v1/reporters/803
"Ky. (Litt. Sel. Cas.)"	"Cases selected from the decisions of the Court of Appeals of Kentucky, not heretofore reported"	221	https://api.case.law/v1/cases/?reporter=707	https://api.case.law/v1/reporters/707
"C.C.L.J."	"Centre County Legal Journal"	0	https://api.case.law/v1/cases/?reporter=791	https://api.case.law/v1/reporters/791
"C.C.L.J. 2d"	"Centre County Legal Journal 2d"	0	https://api.case.law/v1/cases/?reporter=792	https://api.case.law/v1/reporters/792
"S.C. Eq. (McCord Eq.)"	"Chancery cases argued and determined in the Court of Appeals of South Carolina (McCord)"	173	https://api.case.law/v1/cases/?reporter=898	https://api.case.law/v1/reporters/898
"S.C. Eq. (Ril. Eq.)"	"Chancery cases determined in the Court of Appeals of South Carolina (Riley)"	45	https://api.case.law/v1/cases/?reporter=899	https://api.case.law/v1/reporters/899
"Chand."	"Chandler"	81	https://api.case.law/v1/cases/?reporter=654	https://api.case.law/v1/reporters/654
"Charlton Rep."	"Charlton's Reports"	77	https://api.case.law/v1/cases/?reporter=180	https://api.case.law/v1/reporters/180
"Ches. Co. Rep."	"Chester County Reports"	0	https://api.case.law/v1/cases/?reporter=804	https://api.case.law/v1/reporters/804
"D. Chip."	"Chipman, D."	155	https://api.case.law/v1/cases/?reporter=662	https://api.case.law/v1/reporters/662
"N. Chip."	"Chipman, N."	25	https://api.case.law/v1/cases/?reporter=665	https://api.case.law/v1/reporters/665
"Mun.  L. Rep."	"Chrostwaite's Pennsylvania Municipal Law Reporter"	0	https://api.case.law/v1/cases/?reporter=805	https://api.case.law/v1/reporters/805
"Hosea's Rep."	"Cincinnati Superior Court Decisions (Hosea)"	103	https://api.case.law/v1/cases/?reporter=774	https://api.case.law/v1/reporters/774
"N.Y. City Ct. Rep."	"City Court Reports"	355	https://api.case.law/v1/cases/?reporter=169	https://api.case.law/v1/reporters/169
"Cl. Ch."	"Clarke's Chancery Reports"	121	https://api.case.law/v1/cases/?reporter=6	https://api.case.law/v1/reporters/6
"Cole. & Cai. Cas."	"Coleman & Caines' Cases"	415	https://api.case.law/v1/cases/?reporter=125	https://api.case.law/v1/reporters/125
"Cole. Cas."	"Coleman's Cases"	116	https://api.case.law/v1/cases/?reporter=127	https://api.case.law/v1/reporters/127
"Colo. App."	"Colorado Court of Appeals Reports"	2555	https://api.case.law/v1/cases/?reporter=600	https://api.case.law/v1/reporters/600
"Colo. L. Rep."	"Colorado Law Reporter"	490	https://api.case.law/v1/cases/?reporter=675	https://api.case.law/v1/reporters/675
"Colo. N. P."	"Colorado Nisi Prius Decisions"	36	https://api.case.law/v1/cases/?reporter=681	https://api.case.law/v1/reporters/681
"Colo."	"Colorado Reports"	19963	https://api.case.law/v1/cases/?reporter=344	https://api.case.law/v1/reporters/344
